Day,AttendancePercent,CovidTotalCountyCases,Unemployment
8/10/20,85.4,60941,285775
8/11/20,88.4,61299,285775
8/12/20,90,61648,285775
8/13/20,91.2,62434,285775
8/14/20,91.3,63366,285775
8/17/20,90.8,71421,285775
8/18/20,91.8,72230,285775
8/19/20,92.6,72664,285775
8/20/20,92.4,73070,285775
8/21/20,91.7,73833,285775
8/24/20,92.1,75517,285775
8/25/20,92.1,75930,285775
8/26/20,92.5,76569,285775
8/27/20,92.4,76723,285775
8/28/20,91.9,77025,285775
8/31/20,92.4,78806,285775
9/1/20,92.5,79531,272611
9/2/20,92.2,79914,272611
9/3/20,92.4,79969,272611
9/4/20,91,80446,272611
9/8/20,93,81763,272611
9/9/20,93.4,82199,272611
9/10/20,93.4,82472,272611
9/11/20,92.9,82853,272611
9/14/20,93.2,83887,272611
9/15/20,93.3,84121,272611
9/16/20,93.4,84453,272611
9/17/20,94.1,84927,272611
9/18/20,92.8,85445,272611
9/21/20,93,86855,272611
9/22/20,93.2,87016,272611
9/23/20,93.4,87440,272611
9/24/20,93.2,88175,272611
9/25/20,92.5,88210,272611
9/28/20,92.6,90366,272611
9/29/20,93.2,91200,272611
9/30/20,93.4,91520,272611
10/1/20,93.2,91554,238242
10/2/20,92.8,91581,238242
10/12/20,92.8,96495,238242
10/13/20,93.9,97162,238242
10/14/20,97,97716,238242
10/15/20,93.8,98349,238242
10/16/20,92.9,98879,238242
10/19/20,93.1,100554,238242
10/20/20,93.5,101085,238242
10/21/20,93.6,101733,238242
10/22/20,93.9,102224,238242
10/23/20,92.6,102867,238242
10/26/20,93.2,105037,238242
10/27/20,93.6,105680,238242
10/28/20,93.6,106353,238242
10/29/20,93.6,107086,238242
10/30/20,95,107167,238242
11/2/20,95.1,111222,245151
11/4/20,95.6,112972,245151
11/5/20,95.7,113126,245151
11/6/20,95.1,115389,245151
11/9/20,95.5,118838,245151
11/10/20,95.8,120359,245151
11/11/20,95.3,121784,245151
11/12/20,95.7,122743,245151
