Day,AttendancePercent,CovidTotalCountyCases,Unemployment
9/8/20,91.09,81763,182915
9/9/20,94.18,82199,182915
9/10/20,94.89,82472,182915
9/11/20,94.87,82853,182915
9/14/20,93.74,83887,182915
9/15/20,94.02,84121,182915
9/16/20,94.25,84453,182915
9/17/20,94.03,84927,182915
9/18/20,93.09,85445,182915
9/21/20,92.61,86855,182915
9/22/20,92.39,87016,182915
9/23/20,92.9,87440,182915
9/24/20,92.09,88175,182915
9/25/20,91.7,88210,182915
9/28/20,91.41,90366,182915
9/29/20,92.19,91200,182915
9/30/20,92.15,91520,182915
10/1/20,91.64,91554,159310
10/2/20,90.38,91581,159310
10/5/20,92.33,93756,159310
10/6/20,92.59,94016,159310
10/7/20,93.03,94404,159310
10/8/20,92.38,94687,159310
10/9/20,91.84,95151,159310
10/12/20,90.31,96495,159310
10/13/20,91.99,97162,159310
10/14/20,92.94,97716,159310
10/15/20,92.15,98349,159310
10/16/20,91.32,98879,159310
10/19/20,91.06,100554,159310
10/20/20,92.47,101085,159310
10/21/20,91.79,101733,159310
10/22/20,91.19,102224,159310
10/23/20,90.79,102867,159310
10/26/20,90.43,105037,159310
10/27/20,91.09,105680,159310
10/28/20,91.54,106353,159310
10/29/20,91.39,107086,159310
10/30/20,90.41,107167,159310
11/2/20,91.02,111222,163594
11/3/20,99.4,111993,163594
11/4/20,90.99,112972,163594
11/5/20,91.74,113126,163594
11/6/20,91.04,115389,163594
11/9/20,91.67,118838,163594
11/10/20,91.78,120359,163594
11/11/20,92.47,121784,163594
11/12/20,91.62,122743,163594
11/13/20,91.11,123768,163594
11/16/20,90.31,128944,163594
11/17/20,91.32,129704,163594
11/18/20,92.14,130777,163594
11/19/20,91.65,132784,163594
11/20/20,90.47,134909,163594
