Day,AttendancePercent,CovidTotalCountyCases,UnemploymentRate
8/19/20,100,265,6.67
8/20/20,100,266,6.67
8/21/20,99.36,267,6.67
8/24/20,98.84,275,6.67
8/25/20,97.59,275,6.67
8/26/20,97.49,275,6.67
8/27/20,95.35,277,6.67
8/28/20,94.43,275,6.67
8/31/20,96.08,288,6.67
9/1/20,95.88,292,6.44
9/2/20,97.95,293,6.44
9/3/20,96.91,293,6.44
9/4/20,97.12,296,6.44
9/8/20,97.13,301,6.44
9/9/20,97.13,306,6.44
9/10/20,97.95,306,6.44
9/11/20,96.59,309,6.44
9/14/20,97.94,312,6.44
9/15/20,98.15,317,6.44
9/16/20,98.97,321,6.44
9/17/20,98.35,322,6.44
9/18/20,97.94,324,6.44
9/21/20,97,327,6.44
9/22/20,97.21,328,6.44
9/23/20,96.9,337,6.44
9/24/20,98.35,337,6.44
9/25/20,95.14,337,6.44
9/28/20,97.73,339,6.44
9/29/20,97.93,342,6.44
9/30/20,99.38,345,6.44
10/1/20,99.07,347,5.56
10/2/20,97.31,348,5.56
10/5/20,98.35,354,5.56
10/6/20,98.26,358,5.56
10/7/20,98.77,370,5.56
10/8/20,97.54,365,5.56
10/9/20,96.61,369,5.56
10/13/20,98.35,392,5.56
10/14/20,99.17,397,5.56
10/15/20,97.92,403,5.56
10/16/20,98.22,410,5.56
10/19/20,99.16,420,5.56
10/20/20,97.69,421,5.56
10/21/20,97.9,421,5.56
10/22/20,98.32,421,5.56
10/23/20,97.06,432,5.56
10/26/20,99.37,461,5.56
10/27/20,97.69,464,5.56
10/28/20,98.42,467,5.56
10/29/20,98.95,475,5.56
10/30/20,98.11,475,5.56
11/2/20,97.58,483,5.87
11/3/20,98.95,487,5.87
11/4/20,94.96,490,5.87
11/5/20,99.79,494,5.87
11/6/20,99.79,496,5.87
