Day,AttendancePercent,CovidTotalCountyCases,UnemploymentRate
8/10/20,85.4,60941,7.3
8/11/20,88.4,61299,7.3
8/12/20,90,61648,7.3
8/13/20,91.2,62434,7.3
8/14/20,91.3,63366,7.3
8/17/20,90.8,71421,7.3
8/18/20,91.8,72230,7.3
8/19/20,92.6,72664,7.3
8/20/20,92.4,73070,7.3
8/21/20,91.7,73833,7.3
8/24/20,92.1,75517,7.3
8/25/20,92.1,75930,7.3
8/26/20,92.5,76569,7.3
8/27/20,92.4,76723,7.3
8/28/20,91.9,77025,7.3
8/31/20,92.4,78806,7.3
9/1/20,92.5,79531,6.9
9/2/20,92.2,79914,6.9
9/3/20,92.4,79969,6.9
9/4/20,91,80446,6.9
9/8/20,93,81763,6.9
9/9/20,93.4,82199,6.9
9/10/20,93.4,82472,6.9
9/11/20,92.9,82853,6.9
9/14/20,93.2,83887,6.9
9/15/20,93.3,84121,6.9
9/16/20,93.4,84453,6.9
9/17/20,94.1,84927,6.9
9/18/20,92.8,85445,6.9
9/21/20,93,86855,6.9
9/22/20,93.2,87016,6.9
9/23/20,93.4,87440,6.9
9/24/20,93.2,88175,6.9
9/25/20,92.5,88210,6.9
9/28/20,92.6,90366,6.9
9/29/20,93.2,91200,6.9
9/30/20,93.4,91520,6.9
10/1/20,93.2,91554,6
10/2/20,92.8,91581,6
10/12/20,92.8,96495,6
10/13/20,93.9,97162,6
10/14/20,97,97716,6
10/15/20,93.8,98349,6
10/16/20,92.9,98879,6
10/19/20,93.1,100554,6
10/20/20,93.5,101085,6
10/21/20,93.6,101733,6
10/22/20,93.9,102224,6
10/23/20,92.6,102867,6
10/26/20,93.2,105037,6
10/27/20,93.6,105680,6
10/28/20,93.6,106353,6
10/29/20,93.6,107086,6
10/30/20,95,107167,6
11/2/20,95.1,111222,6.2
11/4/20,95.6,112972,6.2
11/5/20,95.7,113126,6.2
11/6/20,95.1,115389,6.2
11/9/20,95.5,118838,6.2
11/10/20,95.8,120359,6.2
11/11/20,95.3,121784,6.2
11/12/20,95.7,122743,6.2
