Day,Attendance,AttendancePercent,Covid,CovidTotalCountyCases,UnemploymentRate,Unemployment
8/17/20,100,10,24027,3.266313214,8.16,10
8/18/20,96.48,9.648,24264,3.298531811,8.16,10
8/19/20,96.54,9.654,24531,3.334828711,8.16,10
8/20/20,96.02,9.602,24751,3.36473627,8.16,10
8/21/20,94.85,9.485,24925,3.38839043,8.16,10
8/24/20,95.42,9.542,25365,3.448205546,8.16,10
8/25/20,95.85,9.585,25487,3.464790647,8.16,10
8/26/20,95.79,9.579,25648,3.486677542,8.16,10
8/27/20,95.07,9.507,25875,3.517536705,8.16,10
8/28/20,94.43,9.443,26068,3.54377379,8.16,10
8/31/20,94.97,9.497,26543,3.608346928,8.16,10
9/1/20,95.28,9.528,26641,3.621669386,7.8,9.558823529
9/2/20,95.56,9.556,26747,3.636079391,7.8,9.558823529
9/3/20,94.87,9.487,26879,3.654023926,7.8,9.558823529
9/4/20,93.13,9.313,26889,3.655383361,7.8,9.558823529
9/8/20,94.51,9.451,27468,3.734094617,7.8,9.558823529
9/9/20,95.02,9.502,27566,3.747417074,7.8,9.558823529
9/10/20,95.14,9.514,27576,3.748776509,7.8,9.558823529
9/11/20,93.88,9.388,27800,3.779227841,7.8,9.558823529
9/14/20,94.56,9.456,28175,3.830206634,7.8,9.558823529
9/15/20,95.27,9.527,28348,3.85372485,7.8,9.558823529
9/16/20,95.12,9.512,28539,3.879690049,7.8,9.558823529
9/17/20,94.51,9.451,28680,3.898858075,7.8,9.558823529
9/18/20,93.51,9.351,28818,3.917618271,7.8,9.558823529
9/21/20,94.94,9.494,29406,3.997553018,7.8,9.558823529
9/22/20,94.93,9.493,29617,4.026237085,7.8,9.558823529
9/23/20,95.15,9.515,29829,4.055057096,7.8,9.558823529
9/24/20,95.22,9.522,30072,4.088091354,7.8,9.558823529
9/25/20,94.4,9.44,30289,4.117591082,7.8,9.558823529
9/28/20,94.94,9.494,30824,4.190320827,7.8,9.558823529
9/29/20,95.62,9.562,31125,4.231239804,7.8,9.558823529
9/30/20,95.75,9.575,31465,4.277460576,7.8,9.558823529
10/1/20,95.66,9.566,31731,4.313621533,6.94,8.504901961
10/2/20,94.78,9.478,32139,4.36908646,6.94,8.504901961
10/5/20,95.25,9.525,33058,4.494018488,6.94,8.504901961
10/6/20,96,9.6,33361,4.535209353,6.94,8.504901961
10/7/20,96.39,9.639,33871,4.604540511,6.94,8.504901961
10/8/20,96.03,9.603,34462,4.684883089,6.94,8.504901961
10/9/20,94.05,9.405,35014,4.759923872,6.94,8.504901961
10/26/20,94.23,9.423,50918,6.921968461,6.94,8.504901961
10/27/20,94.84,9.484,52486,7.135127787,6.94,8.504901961
10/28/20,95.28,9.528,53750,7.306960305,6.94,8.504901961
10/29/20,95.33,9.533,55596,7.557911909,6.94,8.504901961
10/30/20,94.29,9.429,57873,7.867455139,6.94,8.504901961
11/2/20,95.59,9.559,63276,8.601957586,7.91,9.693627451
11/3/20,95.71,9.571,65152,8.856987493,7.91,9.693627451
11/4/20,95.51,9.551,69190,9.405927134,7.91,9.693627451
11/5/20,94.56,9.456,71674,9.743610658,7.91,9.693627451
11/6/20,94.56,9.456,73560,10,7.91,9.693627451
