Day,AttendancePercent,CovidTotalCountyCases,UnemploymentRate
8/17/20,100,3235,5.66
8/18/20,99.39,3284,5.66
8/19/20,98.94,3312,5.66
8/20/20,97.81,3374,5.66
8/21/20,97.89,3444,5.66
8/24/20,95.74,3571,5.66
8/25/20,97.16,3650,5.66
8/26/20,95.22,3748,5.66
8/27/20,94.4,3811,5.66
8/28/20,93.67,3855,5.66
8/31/20,92.77,3972,5.66
9/1/20,95.9,4018,5.38
9/2/20,95.08,4056,5.38
9/3/20,95.24,4149,5.38
9/4/20,95.62,4195,5.38
9/8/20,92.95,4332,5.38
9/9/20,91.99,4389,5.38
9/10/20,94.73,4446,5.38
9/11/20,94.81,4519,5.38
9/14/20,94.96,4661,5.38
9/15/20,95.56,4719,5.38
9/16/20,95.34,4814,5.38
9/17/20,95.11,4867,5.38
9/18/20,94.74,4948,5.38
9/21/20,94.81,5073,5.38
9/22/20,95.92,5115,5.38
9/23/20,94.42,5185,5.38
9/24/20,95.91,5276,5.38
9/25/20,95.61,5321,5.38
9/29/20,95.79,5448,5.38
9/30/20,96,5511,5.38
10/1/20,96.07,5581,4.9
10/2/20,91.31,5634,4.9
10/5/20,88.73,5781,4.9
10/6/20,90.38,5810,4.9
10/7/20,93.07,5850,4.9
10/8/20,89.77,5898,4.9
10/9/20,92.87,5942,4.9
10/13/20,91.45,6135,4.9
10/14/20,90.25,6203,4.9
10/15/20,94.75,6255,4.9
10/16/20,94.54,6321,4.9
10/19/20,89.78,6536,4.9
10/20/20,89.45,6614,4.9
10/21/20,92.62,6687,4.9
10/22/20,93.66,6798,4.9
10/23/20,92.54,6885,4.9
10/26/20,90.9,7137,4.9
10/27/20,99.85,7234,4.9
10/28/20,100,7296,4.9
10/29/20,84.01,7424,4.9
10/30/20,89.82,7497,4.9
11/2/20,90.89,7808,5.43
11/3/20,92.87,7915,5.43
11/4/20,100,8046,5.43
11/5/20,100,8207,5.43
11/6/20,100,8313,5.43
