Day,Attendance,AttendancePercent,Covid,CovidTotalCountyCases,UnemploymentRate,Unemployment
8/12/20,99.72,9.972,51943,5.804789737,7.64,10
8/13/20,97.99,9.799,52293,5.843903311,7.64,10
8/14/20,97.04,9.704,52676,5.886704737,7.64,10
8/17/20,97.92,9.792,53736,6.005162992,7.64,10
8/18/20,97.95,9.795,54146,6.050981751,7.64,10
8/19/20,98.37,9.837,54592,6.10082362,7.64,10
8/20/20,98.54,9.854,55110,6.158711711,7.64,10
8/21/20,98.21,9.821,55620,6.215705777,7.64,10
8/24/20,98.05,9.805,56648,6.330587933,7.64,10
8/25/20,98.16,9.816,57013,6.371377804,7.64,10
8/31/20,97,9.7,59638,6.664729613,7.64,10
9/1/20,97.25,9.725,60312,6.740051183,7.44,9.738219895
9/2/20,97.38,9.738,60790,6.793469151,7.44,9.738219895
9/3/20,97.1,9.71,61346,6.855603858,7.44,9.738219895
9/4/20,96.9,9.69,61983,6.926790564,7.44,9.738219895
9/8/20,97.35,9.735,63530,7.099672564,7.44,9.738219895
9/9/20,97.67,9.767,63923,7.14359152,7.44,9.738219895
9/10/20,97.31,9.731,64380,7.194662673,7.44,9.738219895
9/11/20,96.94,9.694,65075,7.272331057,7.44,9.738219895
9/14/20,96.65,9.665,66459,7.426997307,7.44,9.738219895
9/15/20,97.02,9.702,66905,7.476839176,7.44,9.738219895
9/16/20,97.11,9.711,67404,7.532603958,7.44,9.738219895
9/17/20,96.89,9.689,67859,7.583451605,7.44,9.738219895
9/18/20,96.46,9.646,68324,7.635416783,7.44,9.738219895
9/21/20,96.15,9.615,69243,7.738117855,7.44,9.738219895
9/22/20,95.87,9.587,69485,7.765162098,7.44,9.738219895
9/23/20,96.42,9.642,69803,7.800699574,7.44,9.738219895
9/24/20,96.89,9.689,70095,7.833331471,7.44,9.738219895
9/25/20,96.37,9.637,70526,7.881497044,7.44,9.738219895
9/28/20,96.38,9.638,71440,7.98363935,7.44,9.738219895
9/29/20,97,9.7,71784,8.022082407,7.44,9.738219895
9/30/20,97.13,9.713,72140,8.0618665,7.44,9.738219895
10/1/20,97,9.7,72574,8.110367332,6.63,8.678010471
10/2/20,96.4,9.64,73103,8.169484707,6.63,8.678010471
10/5/20,96.25,9.625,74200,8.292077825,6.63,8.678010471
10/6/20,96.92,9.692,74713,8.34940715,6.63,8.678010471
10/7/20,96.98,9.698,75181,8.401707587,6.63,8.678010471
10/8/20,96.82,9.682,75780,8.468647676,6.63,8.678010471
10/13/20,96.63,9.663,78280,8.748030352,6.63,8.678010471
10/14/20,96.2,9.62,78830,8.809494541,6.63,8.678010471
10/15/20,96.95,9.695,79487,8.882916308,6.63,8.678010471
10/16/20,96.12,9.612,80172,8.959467161,6.63,8.678010471
10/19/20,96.55,9.655,81624,9.12173262,6.63,8.678010471
10/20/20,97.11,9.711,82093,9.17414481,6.63,8.678010471
10/21/20,97.13,9.713,82708,9.242872948,6.63,8.678010471
10/22/20,96.96,9.696,83453,9.326128985,6.63,8.678010471
10/23/20,96.27,9.627,84258,9.416090207,6.63,8.678010471
10/26/20,96.44,9.644,86352,9.650101137,6.63,8.678010471
10/27/20,96.9,9.69,87027,9.725534459,6.63,8.678010471
10/28/20,96.84,9.684,87770,9.80856699,6.63,8.678010471
10/29/20,96.77,9.677,88544,9.895063867,6.63,8.678010471
10/30/20,95.44,9.544,89483,10,6.63,8.678010471
