Day,Attendance,AttendancePercent,Covid,CovidTotalCountyCases,UnemploymentRate,Unemployment
8/12/20,99.54,9.954,34774,4.377887726,7.54,10
8/13/20,97.12,9.712,35129,4.422580605,7.54,10
8/14/20,97.21,9.721,35629,4.48552832,7.54,10
8/17/20,98.12,9.812,38016,4.786040715,7.54,10
8/18/20,95.79,9.579,38476,4.843952613,7.54,10
8/18/20,95.79,9.579,38476,4.843952613,7.54,10
8/19/20,97.41,9.741,38822,4.887512432,7.54,10
8/20/20,96.15,9.615,39053,4.916594277,7.54,10
8/21/20,97.13,9.713,39328,4.95121552,7.54,10
8/24/20,97.67,9.767,39920,5.025745616,7.54,10
8/25/20,96.68,9.668,40331,5.077488638,7.54,10
8/31/20,96.95,9.695,41617,5.239390163,7.54,10
9/1/20,96.77,9.677,41860,5.269982752,7.12,9.442970822
9/2/20,96.24,9.624,42070,5.296420793,7.12,9.442970822
9/3/20,95.79,9.579,42297,5.324999056,7.12,9.442970822
9/4/20,97.67,9.767,42511,5.351940678,7.12,9.442970822
9/8/20,98.83,9.883,43055,5.420427793,7.12,9.442970822
9/9/20,96.41,9.641,43515,5.478339691,7.12,9.442970822
9/10/20,96,9.6,43726,5.504903627,7.12,9.442970822
9/11/20,95.03,9.503,43937,5.531467563,7.12,9.442970822
9/14/20,94.64,9.464,44727,5.630924954,7.12,9.442970822
9/15/20,94.52,9.452,45163,5.685815362,7.12,9.442970822
9/16/20,94.92,9.492,45583,5.738691443,7.12,9.442970822
9/17/20,94.63,9.463,45868,5.774571641,7.12,9.442970822
9/18/20,93.52,9.352,46150,5.810074152,7.12,9.442970822
9/21/20,93.04,9.304,47231,5.946167114,7.12,9.442970822
9/22/20,93.93,9.393,47533,5.984187534,7.12,9.442970822
9/23/20,93.71,9.371,47917,6.032531379,7.12,9.442970822
9/24/20,93.89,9.389,48504,6.106431998,7.12,9.442970822
9/25/20,92.87,9.287,48897,6.155908902,7.12,9.442970822
9/28/20,92.68,9.268,49569,6.240510632,7.12,9.442970822
9/29/20,92.8,9.28,50057,6.301947602,7.12,9.442970822
9/30/20,92.55,9.255,50417,6.347269958,7.12,9.442970822
10/1/20,92.16,9.216,50729,6.386549332,6.18,8.196286472
10/2/20,92.56,9.256,51081,6.430864524,6.18,8.196286472
10/5/20,92.75,9.275,52366,6.592640153,6.18,8.196286472
10/6/20,93,9.3,52720,6.637207136,6.18,8.196286472
10/7/20,92.1,9.21,53292,6.709219322,6.18,8.196286472
10/8/20,92.61,9.261,53838,6.777958228,6.18,8.196286472
10/13/20,91.19,9.119,56159,7.070161524,6.18,8.196286472
10/14/20,92.76,9.276,56783,7.148720273,6.18,8.196286472
10/15/20,92.76,9.276,57438,7.23118178,6.18,8.196286472
10/16/20,93.15,9.315,58053,7.308607471,6.18,8.196286472
10/19/20,92.08,9.208,59662,7.51117322,6.18,8.196286472
10/20/20,93.33,9.333,60162,7.574120935,6.18,8.196286472
10/21/20,93.87,9.387,60795,7.653812743,6.18,8.196286472
10/22/20,94.35,9.435,61527,7.745968199,6.18,8.196286472
10/23/20,93.95,9.395,62375,7.852727525,6.18,8.196286472
10/26/20,92.14,9.214,64290,8.093817275,6.18,8.196286472
10/27/20,92.32,9.232,64727,8.148833579,6.18,8.196286472
10/28/20,92.89,9.289,65368,8.22953255,6.18,8.196286472
10/29/20,92.76,9.276,66110,8.32294696,6.18,8.196286472
10/30/20,93.54,9.354,66810,8.411073762,6.18,8.196286472
11/2/20,92.25,9.225,68803,8.661983357,6.33,8.395225464
11/3/20,95.55,9.555,69519,8.752124485,6.33,8.395225464
11/4/20,93,9.3,70228,8.841384346,6.33,8.395225464
11/5/20,93.2,9.32,71166,8.959474261,6.33,8.395225464
11/6/20,93.51,9.351,72118,9.079326711,6.33,8.395225464
11/9/20,93.2,9.32,75161,9.462426509,6.33,8.395225464
11/10/20,92.46,9.246,76086,9.578879782,6.33,8.395225464
11/11/20,92.54,9.254,76838,9.673553147,6.33,8.395225464
11/12/20,93.06,9.306,78029,9.823494605,6.33,8.395225464
11/13/20,92.73,9.273,79431,10,6.33,8.395225464
