Day,AttendancePercent,CovidTotalCountyCases,UnemploymentRate
8/12/20,99.72,51943,7.64
8/13/20,97.99,52293,7.64
8/14/20,97.04,52676,7.64
8/17/20,97.92,53736,7.64
8/18/20,97.95,54146,7.64
8/19/20,98.37,54592,7.64
8/20/20,98.54,55110,7.64
8/21/20,98.21,55620,7.64
8/24/20,98.05,56648,7.64
8/25/20,98.16,57013,7.64
8/31/20,97,59638,7.64
9/1/20,97.25,60312,7.44
9/2/20,97.38,60790,7.44
9/3/20,97.1,61346,7.44
9/4/20,96.9,61983,7.44
9/8/20,97.35,63530,7.44
9/9/20,97.67,63923,7.44
9/10/20,97.31,64380,7.44
9/11/20,96.94,65075,7.44
9/14/20,96.65,66459,7.44
9/15/20,97.02,66905,7.44
9/16/20,97.11,67404,7.44
9/17/20,96.89,67859,7.44
9/18/20,96.46,68324,7.44
9/21/20,96.15,69243,7.44
9/22/20,95.87,69485,7.44
9/23/20,96.42,69803,7.44
9/24/20,96.89,70095,7.44
9/25/20,96.37,70526,7.44
9/28/20,96.38,71440,7.44
9/29/20,97,71784,7.44
9/30/20,97.13,72140,7.44
10/1/20,97,72574,6.63
10/2/20,96.4,73103,6.63
10/5/20,96.25,74200,6.63
10/6/20,96.92,74713,6.63
10/7/20,96.98,75181,6.63
10/8/20,96.82,75780,6.63
10/13/20,96.63,78280,6.63
10/14/20,96.2,78830,6.63
10/15/20,96.95,79487,6.63
10/16/20,96.12,80172,6.63
10/19/20,96.55,81624,6.63
10/20/20,97.11,82093,6.63
10/21/20,97.13,82708,6.63
10/22/20,96.96,83453,6.63
10/23/20,96.27,84258,6.63
10/26/20,96.44,86352,6.63
10/27/20,96.9,87027,6.63
10/28/20,96.84,87770,6.63
10/29/20,96.77,88544,6.63
10/30/20,95.44,89483,6.63
