Day,AttendancePercent,CovidTotalCountyCases,UnemploymentRate
8/12/20,99.54,34774,7.54
8/13/20,97.12,35129,7.54
8/14/20,97.21,35629,7.54
8/17/20,98.12,38016,7.54
8/18/20,95.79,38476,7.54
8/18/20,95.79,38476,7.54
8/19/20,97.41,38822,7.54
8/20/20,96.15,39053,7.54
8/21/20,97.13,39328,7.54
8/24/20,97.67,39920,7.54
8/25/20,96.68,40331,7.54
8/31/20,96.95,41617,7.54
9/1/20,96.77,41860,7.12
9/2/20,96.24,42070,7.12
9/3/20,95.79,42297,7.12
9/4/20,97.67,42511,7.12
9/8/20,98.83,43055,7.12
9/9/20,96.41,43515,7.12
9/10/20,96,43726,7.12
9/11/20,95.03,43937,7.12
9/14/20,94.64,44727,7.12
9/15/20,94.52,45163,7.12
9/16/20,94.92,45583,7.12
9/17/20,94.63,45868,7.12
9/18/20,93.52,46150,7.12
9/21/20,93.04,47231,7.12
9/22/20,93.93,47533,7.12
9/23/20,93.71,47917,7.12
9/24/20,93.89,48504,7.12
9/25/20,92.87,48897,7.12
9/28/20,92.68,49569,7.12
9/29/20,92.8,50057,7.12
9/30/20,92.55,50417,7.12
10/1/20,92.16,50729,6.18
10/2/20,92.56,51081,6.18
10/5/20,92.75,52366,6.18
10/6/20,93,52720,6.18
10/7/20,92.1,53292,6.18
10/8/20,92.61,53838,6.18
10/13/20,91.19,56159,6.18
10/14/20,92.76,56783,6.18
10/15/20,92.76,57438,6.18
10/16/20,93.15,58053,6.18
10/19/20,92.08,59662,6.18
10/20/20,93.33,60162,6.18
10/21/20,93.87,60795,6.18
10/22/20,94.35,61527,6.18
10/23/20,93.95,62375,6.18
10/26/20,92.14,64290,6.18
10/27/20,92.32,64727,6.18
10/28/20,92.89,65368,6.18
10/29/20,92.76,66110,6.18
10/30/20,93.54,66810,6.18
11/2/20,92.25,68803,6.33
11/3/20,95.55,69519,6.33
11/4/20,93,70228,6.33
11/5/20,93.2,71166,6.33
11/6/20,93.51,72118,6.33
11/9/20,93.2,75161,6.33
11/10/20,92.46,76086,6.33
11/11/20,92.54,76838,6.33
11/12/20,93.06,78029,6.33
11/13/20,92.73,79431,6.33
